time,r,p,y,p_rate,q_rate,r_rate,r_d,p_d,y_d,ail,ele,rud,thr
1.77271e+09,0.302344,-0.0328189,1.08826,-0.00570055,-0.0508885,-0.181434,0.302293,-0.0313992,1.08596,-0.44,0.006,0.224,0.496
1.77271e+09,0.302345,-0.032765,1.08053,-0.00743105,-0.0535257,-0.177899,0.302293,-0.0313992,1.08596,-0.44,0.006,0.224,0.496
1.77271e+09,0.302345,-0.032765,1.08053,-0.00743105,-0.0535257,-0.177899,0.302293,-0.0313992,1.08596,-0.44,0.006,0.224,0.496
1.77271e+09,0.302285,-0.0327114,1.07673,-0.00944333,-0.0544616,-0.183079,0.302293,-0.0313992,1.08596,-0.44,0.006,0.224,0.496
1.77271e+09,0.302285,-0.0327114,1.07673,-0.00944333,-0.0544616,-0.183079,0.302293,-0.0313992,1.08596,-0.44,0.006,0.224,0.496
1.77271e+09,0.302294,-0.0326764,1.0691,-0.000778427,-0.0560237,-0.176042,0.302542,-0.0314274,1.06609,-0.44,0.008,0.226,0.495
1.77271e+09,0.302359,-0.0326963,1.06146,-0.0126156,-0.0559943,-0.181848,0.302542,-0.0314274,1.06609,-0.44,0.008,0.226,0.495
1.77271e+09,0.302359,-0.0326963,1.06146,-0.0126156,-0.0559943,-0.181848,0.302542,-0.0314274,1.06609,-0.44,0.008,0.226,0.495
1.77271e+09,0.302216,-0.0327172,1.05763,-0.0100449,-0.057049,-0.182598,0.302542,-0.0314274,1.06609,-0.44,0.008,0.226,0.495
1.77271e+09,0.302216,-0.0327172,1.05763,-0.0100449,-0.057049,-0.182598,0.302542,-0.0314274,1.06609,-0.44,0.008,0.226,0.495
1.77271e+09,0.302268,-0.0326905,1.04925,-0.00480228,-0.0601087,-0.180463,0.302763,-0.0312823,1.04772,-0.44,0.006,0.224,0.496
1.77271e+09,0.302322,-0.0327163,1.04227,-0.00504532,-0.058278,-0.185701,0.302763,-0.0312823,1.04772,-0.44,0.006,0.224,0.496
1.77271e+09,0.302322,-0.0327163,1.04227,-0.00504532,-0.058278,-0.185701,0.302763,-0.0312823,1.04772,-0.44,0.006,0.224,0.496
1.77271e+09,0.302293,-0.0326833,1.03845,-0.0058588,-0.0571296,-0.185968,0.302763,-0.0312823,1.04772,-0.44,0.006,0.224,0.496
1.77271e+09,0.302293,-0.0326833,1.03845,-0.0058588,-0.0571296,-0.185968,0.302763,-0.0312823,1.04772,-0.44,0.006,0.224,0.496
1.77271e+09,0.302382,-0.0327741,1.02985,-0.00281275,-0.0583252,-0.191572,0.302812,-0.0311692,1.02754,-0.44,0.006,0.228,0.496
1.77271e+09,0.302413,-0.0327388,1.023,-0.00632542,-0.0583662,-0.182769,0.302812,-0.0311692,1.02754,-0.44,0.006,0.228,0.496
1.77271e+09,0.302413,-0.0327388,1.023,-0.00632542,-0.0583662,-0.182769,0.302812,-0.0311692,1.02754,-0.44,0.006,0.228,0.496
